[2022-05-16 16:28:04,670: ERROR/MainProcess] consumer: Cannot connect to redis://localhost:6379//: Error 10061 connecting to localhost:6379. WSAECONNREFUSED..
Trying again in 2.00 seconds... (1/100)

[2022-05-16 16:28:18,752: ERROR/MainProcess] consumer: Cannot connect to redis://localhost:6379//: Error 10061 connecting to localhost:6379. WSAECONNREFUSED..
Trying again in 4.00 seconds... (2/100)

[2022-05-16 16:28:34,843: ERROR/MainProcess] consumer: Cannot connect to redis://localhost:6379//: Error 10061 connecting to localhost:6379. WSAECONNREFUSED..
Trying again in 6.00 seconds... (3/100)

[2022-05-16 16:28:50,893: INFO/MainProcess] Connected to redis://localhost:6379//
[2022-05-16 16:29:00,923: INFO/MainProcess] mingle: searching for neighbors
[2022-05-16 16:29:32,009: INFO/MainProcess] mingle: all alone
[2022-05-16 16:30:02,090: WARNING/MainProcess] C:\Users\exper\Envs\vision11\lib\site-packages\celery\fixups\django.py:203: UserWarning: Using settings.DEBUG leads to a memory
            leak, never use this setting in production environments!
  warnings.warn('''Using settings.DEBUG leads to a memory

[2022-05-16 16:30:02,090: INFO/MainProcess] celery@MOHIT-SATIJA ready.
[2022-05-16 16:30:02,090: INFO/MainProcess] Task get_live_score[779e6324-6bc6-40bd-a5ab-1ee197e058fa] received
[2022-05-16 16:30:02,090: INFO/MainProcess] Discarding revoked task: get_live_score[779e6324-6bc6-40bd-a5ab-1ee197e058fa]
[2022-05-16 16:30:02,106: INFO/MainProcess] Task fetch_match_list[f04b21ad-26f4-4a72-a480-58656d9d178b] received
[2022-05-16 16:30:02,106: INFO/MainProcess] Discarding revoked task: fetch_match_list[f04b21ad-26f4-4a72-a480-58656d9d178b]
[2022-05-16 16:30:02,106: INFO/MainProcess] Task updateteamorplayers[6414d2d1-4dce-4fae-b1cc-5b088bfa5938] received
[2022-05-16 16:30:02,273: INFO/MainProcess] Task get_live_score[64d63bb8-7a0d-4aaf-8bd9-e1aaec73497f] received
[2022-05-16 16:30:02,274: INFO/MainProcess] Discarding revoked task: get_live_score[64d63bb8-7a0d-4aaf-8bd9-e1aaec73497f]
[2022-05-16 16:30:12,170: INFO/MainProcess] pidbox: Connected to redis://localhost:6379//.
[2022-05-16 16:31:44,665: INFO/MainProcess] Task get_live_score[b9c27085-1242-42da-9f04-3a3ee20bd866] received
[2022-05-16 16:31:44,665: INFO/MainProcess] get_live_score[b9c27085-1242-42da-9f04-3a3ee20bd866]: updating live score for: https://www.cricbuzz.com/live-cricket-scorecard/46191/csk-vs-gt-62nd-match-indian-premier-league-2022 at 2022-05-16 11:01:44.665941+00:00 hours!
[2022-05-16 16:31:45,130: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,130: WARNING/MainProcess]  
[2022-05-16 16:31:45,130: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,130: WARNING/MainProcess]  
[2022-05-16 16:31:45,130: WARNING/MainProcess] 11813
[2022-05-16 16:31:45,130: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,130: WARNING/MainProcess]  
[2022-05-16 16:31:45,130: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,130: WARNING/MainProcess]  
[2022-05-16 16:31:45,130: WARNING/MainProcess] 9838
[2022-05-16 16:31:45,130: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,130: WARNING/MainProcess]  
[2022-05-16 16:31:45,130: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,130: WARNING/MainProcess]  
[2022-05-16 16:31:45,130: WARNING/MainProcess] 6692
[2022-05-16 16:31:45,130: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,130: WARNING/MainProcess]  
[2022-05-16 16:31:45,130: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,130: WARNING/MainProcess]  
[2022-05-16 16:31:45,130: WARNING/MainProcess] 11195
[2022-05-16 16:31:45,146: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,146: WARNING/MainProcess]  
[2022-05-16 16:31:45,146: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,146: WARNING/MainProcess]  
[2022-05-16 16:31:45,146: WARNING/MainProcess] 11675
[2022-05-16 16:31:45,146: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,146: WARNING/MainProcess]  
[2022-05-16 16:31:45,146: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,146: WARNING/MainProcess]  
[2022-05-16 16:31:45,146: WARNING/MainProcess] 265
[2022-05-16 16:31:45,146: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,146: WARNING/MainProcess]  
[2022-05-16 16:31:45,146: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,146: WARNING/MainProcess]  
[2022-05-16 16:31:45,146: WARNING/MainProcess] 10100
[2022-05-16 16:31:45,146: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,146: WARNING/MainProcess]  
[2022-05-16 16:31:45,146: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,146: WARNING/MainProcess]  
[2022-05-16 16:31:45,146: WARNING/MainProcess] 12805
[2022-05-16 16:31:45,146: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,146: WARNING/MainProcess]  
[2022-05-16 16:31:45,146: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,146: WARNING/MainProcess]  
[2022-05-16 16:31:45,162: WARNING/MainProcess] 14163
[2022-05-16 16:31:45,162: WARNING/MainProcess] Player matching query does not exist.
[2022-05-16 16:31:45,162: WARNING/MainProcess]  
[2022-05-16 16:31:45,162: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,162: WARNING/MainProcess]  
[2022-05-16 16:31:45,162: WARNING/MainProcess] 16458
[2022-05-16 16:31:45,162: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,162: WARNING/MainProcess]  
[2022-05-16 16:31:45,162: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,162: WARNING/MainProcess]  
[2022-05-16 16:31:45,162: WARNING/MainProcess] 13184
[2022-05-16 16:31:45,162: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,162: WARNING/MainProcess]  
[2022-05-16 16:31:45,162: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,162: WARNING/MainProcess]  
[2022-05-16 16:31:45,162: WARNING/MainProcess] 1465
[2022-05-16 16:31:45,162: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,162: WARNING/MainProcess]  
[2022-05-16 16:31:45,162: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,162: WARNING/MainProcess]  
[2022-05-16 16:31:45,162: WARNING/MainProcess] 11808
[2022-05-16 16:31:45,162: WARNING/MainProcess] NOT NULL constraint failed: mainAPP_playersmatchdata.out
[2022-05-16 16:31:45,162: WARNING/MainProcess]  
[2022-05-16 16:31:45,162: WARNING/MainProcess] error inside updating. 
[2022-05-16 16:31:45,162: WARNING/MainProcess]  
[2022-05-16 16:31:45,162: WARNING/MainProcess] 1649
